,A,Z,mass_theory,mass_practice,excess,binding energy,beta decay,mass
99,20,8,18628.4,18629.6,3.79617,151.371,3.81363,18629.6
100,20,9,18625.4,18625.3,-0.017463,154.403,7.02447,18625.3
101,20,10,18617.1,18617.7,-7.04193,160.645,-13.8925,18617.7
102,20,11,18630.4,18631.1,6.8506,145.97,-10.7081,18631.1
103,20,12,18639.8,18641.3,17.5587,134.48,0.0,18641.3
104,21,5,,19634.5,75.721,89.8649,30.078,19634.5
105,21,6,,19604.0,45.643,119.161,20.392,19604.0
106,21,7,,19583.1,25.2512,138.77,17.1893,19583.1
107,21,8,19565.5,19565.4,8.06191,155.177,8.10952,19565.4
108,21,9,19556.1,19556.7,-0.047609,162.504,5.68417,19556.7
109,21,10,19550.4,19550.5,-5.73178,167.406,-3.54714,19550.5
110,21,11,19552.9,19553.6,-2.18464,163.076,-13.0982,19553.6
111,21,12,19565.1,19566.2,10.9135,149.196,-16.077,19566.2
112,21,13,19581.2,19581.7,26.99,132.337,0.0,19581.7
113,22,6,,20543.4,53.5902,119.285,21.5516,20543.4
114,22,7,,20521.3,32.0387,140.054,22.7554,20521.3
115,22,8,20499.2,20498.1,9.28332,162.027,6.48995,20498.1
116,22,9,20491.4,20491.1,2.79338,167.734,10.8181,20491.1
117,22,10,20479.1,20479.7,-8.02471,177.77,-2.8432,20479.7
118,22,11,20482.3,20482.1,-5.18152,174.145,-4.78158,20482.1
119,22,12,20485.2,20486.3,-0.399939,168.581,-18.601,20486.3
120,22,13,20504.3,20504.4,18.201,149.197,-15.137,20504.4
121,22,14,20518.9,20519.1,33.338,133.278,0.0,20519.1
122,23,6,,21485.5,64.171,116.775,25.849,21485.5
123,23,7,,21459.1,38.322,141.842,23.701,21459.1
124,23,8,21438.0,21434.9,14.6207,164.761,11.3076,21434.9
125,23,9,21424.0,21423.1,3.31304,175.286,8.46709,21423.1
126,23,10,21414.2,21414.1,-5.15404,182.971,4.37581,21414.1
127,23,11,21408.9,21409.2,-9.52985,186.564,-4.05659,21409.2
128,23,12,21412.4,21412.8,-5.47326,181.725,-12.2213,21412.8
129,23,13,21424.2,21424.5,6.74807,168.722,-16.949,21424.5
130,23,14,21440.8,21440.9,23.697,150.99,0.0,21440.9
131,23,15,21462.4,,,,,21462.400390625
132,24,7,,22399.2,46.938,141.297,28.438,22399.2
133,24,8,22373.9,22370.3,18.5004,168.952,10.9409,22370.3
134,24,9,22360.6,22358.8,7.55953,179.111,13.5112,22358.8
135,24,10,22344.8,22344.8,-5.95164,191.84,2.46632,22344.8
136,24,11,22342.8,22341.8,-8.41796,193.524,5.51561,22341.8
137,24,12,22335.7,22335.8,-13.9336,198.257,-13.886,22335.8
138,24,13,22349.6,22349.2,-0.047614,183.589,-10.792,22349.2
139,24,14,22358.5,22359.5,10.7444,172.014,-22.575,22359.5
140,24,15,22382.0,22381.5,33.32,148.656,0.0,22381.5
141,24,16,22403.4,,,,,22403.400390625
142,25,7,,23339.8,55.983,140.324,28.635,23339.8
143,25,8,23314.2,23310.6,27.3477,168.176,15.9842,23310.6
144,25,9,23295.6,23294.1,11.3635,183.378,13.4233,23294.1
145,25,10,23281.3,23280.2,-2.05981,196.019,7.29801,23280.2
146,25,11,23272.8,23272.4,-9.35782,202.535,3.83495,23272.4
147,25,12,23268.7,23268.0,-13.1928,205.588,-4.27661,23268.0
148,25,13,23272.3,23271.8,-8.91617,200.529,-12.7435,23271.8
149,25,14,23283.4,23284.0,3.82733,187.003,-15.911,23284.0
150,25,15,23300.2,23299.4,19.738,170.31,0.0,23299.4
151,25,16,23322.6,,,,,23322.599609375
152,25,17,23348.7,,,,,23348.69921875
153,26,8,24251.5,24249.5,34.733,168.862,16.068,24249.5
154,26,9,24234.2,24232.9,18.6651,184.148,18.1856,24232.9
155,26,10,24214.8,24214.2,0.479445,201.551,7.34023,24214.2
156,26,11,24207.3,24206.4,-6.86078,208.109,9.35377,24206.4
157,26,12,24196.3,24196.5,-16.2145,216.681,-4.00443,24196.5
158,26,13,24201.4,24200.0,-12.2101,211.894,-5.06914,24200.0
159,26,14,24203.3,24204.6,-7.14098,206.042,-18.114,24204.6
160,26,15,24222.6,24222.2,10.973,187.146,-16.106,24222.2
