,A,Z,mass_theory,mass_practice,excess,binding energy,beta decay,mass
924,72,22,67103.8,,,,,67103.796875
925,72,23,67083.5,,,,,67083.5
926,72,24,67059.5,,,,,67059.5
927,72,25,67043.3,,,,,67043.296875
928,72,26,67023.8,67026.2,-28.103,588.897,11.681,67026.2
929,72,27,67012.6,67014.0,-39.784,599.795,14.442,67014.0
930,72,28,66998.1,66999.1,-54.2261,613.455,5.55694,66999.1
931,72,29,66992.4,66993.0,-59.783,618.23,8.36249,66993.0
932,72,30,66983.7,66984.1,-68.1455,625.81,0.44277,66984.1
933,72,31,66983.1,66983.2,-68.5883,625.47,3.99764,66983.2
934,72,32,66978.8,66978.7,-72.5859,628.686,-4.3561,66978.7
935,72,33,66982.2,66982.5,-68.2298,623.547,-0.361618,66982.5
936,72,34,66982.5,66982.4,-67.8682,622.403,-8.80086,66982.4
937,72,35,66990.3,66990.7,-59.0673,612.82,-5.12675,66990.7
938,72,36,66995.2,66995.3,-53.9406,606.911,-15.824,66995.3
939,72,37,67010.4,67010.6,-38.117,590.305,0.0,67010.6
940,72,38,67022.2,,,,,67022.203125
941,72,39,67042.0,,,,,67042.0
942,72,40,67058.6,,,,,67058.6015625
943,73,20,68102.5,,,,,68102.5
944,73,21,68073.3,,,,,68073.296875
945,73,22,68045.0,,,,,68045.0
946,73,23,68020.7,,,,,68020.703125
947,73,24,67998.1,,,,,67998.1015625
948,73,25,67978.9,,,,,67978.8984375
949,73,26,67961.1,67963.2,-22.617,591.482,14.28,67963.2
950,73,27,67946.5,67948.4,-36.896,604.979,13.212,67948.4
951,73,28,67933.7,67934.7,-50.1082,617.409,8.87928,67934.7
952,73,29,67924.5,67925.3,-58.9874,625.506,6.60597,67925.3
953,73,30,67917.9,67918.2,-65.5934,631.329,4.10593,67918.2
954,73,31,67913.6,67913.6,-69.6993,634.653,1.59819,67913.6
955,73,32,67911.3,67911.5,-71.2975,635.469,-0.344774,67911.5
956,73,33,67911.0,67911.3,-70.9527,634.341,-2.72536,67911.3
957,73,34,67913.2,67913.5,-68.2274,630.834,-4.5798,67913.5
958,73,35,67917.4,67917.6,-63.6476,625.472,-7.09583,67917.6
959,73,36,67923.9,67924.2,-56.5517,617.593,-10.47,67924.2
960,73,37,67933.8,67934.2,-46.082,606.341,-14.131,67934.2
961,73,38,67947.4,67947.8,-31.95,591.427,0.0,67947.8
962,73,39,67963.2,,,,,67963.203125
963,73,40,67981.7,,,,,67981.703125
964,74,21,69014.7,,,,,69014.703125
965,74,22,68983.8,,,,,68983.796875
966,74,23,68960.9,,,,,68960.8984375
967,74,24,68934.3,,,,,68934.296875
968,74,25,68916.6,,,,,68916.6015625
969,74,26,68895.7,68898.1,-19.235,596.171,13.227,68898.1
970,74,27,68882.8,68884.3,-32.463,608.617,15.994,68884.3
971,74,28,68866.8,68867.8,-48.456,623.828,7.55,68867.8
972,74,29,68859.3,68859.8,-56.0062,630.596,9.75051,68859.8
973,74,30,68848.7,68849.5,-65.7567,639.564,2.29291,68849.5
974,74,31,68846.4,68846.7,-68.0496,641.074,5.37282,68846.7
975,74,32,68840.9,68840.8,-73.4224,645.665,-2.56239,68840.8
976,74,33,68842.5,68842.9,-70.8601,642.32,1.35315,68842.9
977,74,34,68840.9,68841.0,-72.2132,642.891,-6.92495,68841.0
978,74,35,68846.8,68847.5,-65.2882,635.184,-2.95642,68847.5
979,74,36,68849.4,68849.9,-62.3318,631.445,-10.4158,68849.9
980,74,37,68860.6,68859.8,-51.916,620.247,-11.089,68859.8
981,74,38,68869.6,68870.4,-40.827,608.375,0.0,68870.4
982,74,39,68887.4,,,,,68887.3984375
983,74,40,68901.9,,,,,68901.8984375
984,74,41,68924.1,,,,,68924.1015625
985,75,21,69955.1,,,,,69955.1015625
986,75,22,69925.5,,,,,69925.5
987,75,23,69899.7,,,,,69899.703125
988,75,24,69874.5,,,,,69874.5
989,75,25,69852.7,,,,,69852.703125
990,75,26,69833.2,,,,,69833.203125
991,75,27,69817.1,69819.2,-29.1,613.325,15.146,69819.2
992,75,28,69802.7,69803.5,-44.246,627.689,10.225,69803.5
993,75,29,69792.0,69792.8,-54.4713,637.132,8.08757,69792.8
994,75,30,69783.3,69784.2,-62.5589,644.437,5.90567,69784.2
995,75,31,69777.4,69777.8,-68.4646,649.561,3.39239,69777.8
996,75,32,69774.0,69773.9,-71.857,652.171,1.17723,69773.9
997,75,33,69772.0,69772.2,-73.0342,652.566,-0.864709,69772.2
998,75,34,69772.2,69772.6,-72.1695,650.918,-3.06236,69772.6
999,75,35,69774.8,69775.1,-69.1071,647.074,-4.7835,69775.1
1000,75,36,69778.9,69779.4,-64.3236,641.508,-7.10493,69779.4
1001,75,37,69785.4,69786.0,-57.2187,633.621,-10.6,69786.0
1002,75,38,69795.7,69796.1,-46.6187,622.238,0.0,69796.1
1003,75,39,69809.4,,,,,69809.3984375
1004,75,40,69825.9,,,,,69825.8984375
1005,75,41,69844.7,,,,,69844.703125
1006,76,21,70897.8,,,,,70897.796875
1007,76,22,70865.1,,,,,70865.1015625
1008,76,23,70840.7,,,,,70840.703125
1009,76,24,70812.5,,,,,70812.5
1010,76,25,70792.2,,,,,70792.203125
1011,76,26,70768.3,,,,,70768.296875
1012,76,27,70753.7,70755.7,-24.098,616.395,17.512,70755.7
1013,76,28,70736.2,70737.7,-41.61,633.124,9.366,70737.7
1014,76,29,70727.3,70727.8,-50.976,641.708,11.327,70727.8
1015,76,30,70715.1,70716.0,-62.303,652.253,3.99362,70716.0
1016,76,31,70711.1,70711.5,-66.2966,655.464,6.91625,70711.5
1017,76,32,70703.7,70704.0,-73.2129,661.598,-0.921517,70704.0
1018,76,33,70704.2,70704.5,-72.2914,659.894,2.96058,70704.5
1019,76,34,70700.7,70701.0,-75.2519,662.072,-4.96288,70701.0
1020,76,35,70705.1,70705.4,-70.2891,656.327,-1.27493,70705.4
1021,76,36,70705.7,70706.2,-69.0141,654.27,-8.53506,70706.2
1022,76,37,70713.7,70714.2,-60.4791,644.952,-6.23144,70714.2
1023,76,38,70719.2,70720.0,-54.2476,637.939,-15.647,70720.0
1024,76,39,70734.5,70735.1,-38.601,621.51,0.0,70735.1
1025,76,40,70747.1,,,,,70747.1015625
1026,76,41,70767.7,,,,,70767.703125
1027,77,22,71807.5,,,,,71807.5
1028,77,23,71780.0,,,,,71780.0
1029,77,24,71753.2,,,,,71753.203125
1030,77,25,71730.3,,,,,71730.296875
1031,77,26,71707.8,,,,,71707.796875
1032,77,27,71688.8,,,,,71688.796875
1033,77,28,71672.6,71674.0,-36.747,636.333,11.765,71674.0
1034,77,29,71660.6,71661.8,-48.512,647.315,10.277,71661.8
1035,77,30,71650.3,71651.0,-58.7892,656.81,7.20315,71651.0
1036,77,31,71642.8,71643.3,-65.9923,663.231,5.22052,71643.3
1037,77,32,71637.2,71637.5,-71.2129,667.669,2.70346,71637.5
1038,77,33,71633.9,71634.3,-73.9163,669.59,0.683166,71634.3
1039,77,34,71632.8,71633.1,-74.5995,669.491,-1.36468,71633.1
1040,77,35,71633.5,71634.0,-73.2348,667.344,-3.06536,71634.0
1041,77,36,71636.8,71636.6,-70.1694,663.496,-5.33895,71636.6
1042,77,37,71640.5,71641.4,-64.8305,657.375,-7.02706,71641.4
1043,77,38,71647.4,71647.9,-57.8034,649.566,-11.025,71647.9
1044,77,39,71657.8,71658.4,-46.779,637.759,0.0,71658.4
1045,77,40,71672.0,,,,,71672.0
1046,77,41,71688.7,,,,,71688.703125
1047,77,42,71707.3,,,,,71707.296875
1048,78,22,72747.7,,,,,72747.703125
1049,78,23,72721.1,,,,,72721.1015625
1050,78,24,72691.6,,,,,72691.6015625
1051,78,25,72670.3,,,,,72670.296875
1052,78,26,72645.1,,,,,72645.1015625
1053,78,27,72627.4,,,,,72627.3984375
1054,78,28,72606.2,72608.1,-34.13,641.787,10.368,72608.1
1055,78,29,72596.2,72597.3,-44.4975,651.372,12.9858,72597.3
1056,78,30,72582.7,72583.8,-57.4832,663.576,6.22272,72583.8
1057,78,31,72577.0,72577.0,-63.706,669.016,8.1561,72577.0
1058,78,32,72567.9,72568.4,-71.8621,676.39,0.954907,72568.4
1059,78,33,72566.5,72566.9,-72.817,676.562,4.20895,72566.9
1060,78,34,72561.8,72562.2,-77.0259,679.989,-3.57378,72562.2
1061,78,35,72564.6,72565.3,-73.4521,675.633,0.727452,72565.3
1062,78,36,72564.1,72564.0,-74.1796,675.578,-7.24416,72564.0
1063,78,37,72570.1,72570.8,-66.9354,667.551,-3.76148,72570.8
1064,78,38,72573.1,72574.0,-63.1739,663.008,-10.647,72574.0
1065,78,39,72584.6,72584.2,-52.527,651.578,-11.225,72584.2
1066,78,40,72594.4,72594.9,-41.302,639.571,0.0,72594.9
1067,78,41,72612.7,,,,,72612.703125
1068,78,42,72628.1,,,,,72628.1015625
1069,79,22,73688.5,,,,,73688.5
1070,79,23,73660.8,,,,,73660.796875
1071,79,24,73632.6,,,,,73632.6015625
1072,79,25,73608.6,,,,,73608.6015625
1073,79,26,73584.9,,,,,73584.8984375
1074,79,27,73564.6,,,,,73564.6015625
1075,79,28,73545.3,73546.1,-27.71,643.438,14.189,73546.1
1076,79,29,73530.3,73531.4,-41.899,656.845,11.534,73531.4
1077,79,30,73518.5,73519.3,-53.4323,667.596,9.11538,73519.3
1078,79,31,73509.3,73509.7,-62.5477,675.929,6.97892,73509.7
1079,79,32,73501.9,73502.2,-69.5266,682.126,4.10948,73502.2
1080,79,33,73497.0,73497.6,-73.6361,685.453,2.28136,73497.6
1081,79,34,73494.2,73494.8,-75.9174,686.952,0.15063,73494.8
1082,79,35,73494.0,73494.1,-76.0681,686.32,-1.62578,73494.1
1083,79,36,73494.9,73495.3,-74.4423,683.912,-3.63929,73495.3
1084,79,37,73498.5,73498.4,-70.803,679.49,-5.3261,73498.4
1085,79,38,73502.5,73503.2,-65.4769,673.382,-7.12,73503.2
1086,79,39,73509.7,73509.8,-58.3569,665.479,-11.298,73509.8
1087,79,40,73520.5,73520.6,-47.059,653.399,0.0,73520.6
1088,79,41,73534.8,,,,,73534.796875
1089,79,42,73552.6,,,,,73552.6015625
1090,79,43,73570.3,,,,,73570.296875
1091,80,22,74629.1,,,,,74629.1015625
1092,80,23,74602.1,,,,,74602.1015625
1093,80,24,74572.4,,,,,74572.3984375
1094,80,25,74549.0,,,,,74549.0
1095,80,26,74522.8,,,,,74522.796875
1096,80,27,74503.7,,,,,74503.703125
1097,80,28,74481.1,,,,,74481.1015625
1098,80,29,74467.9,74468.3,-36.431,659.448,15.218,74468.3
1099,80,30,74451.6,74452.6,-51.6486,673.884,7.57506,74452.6
1100,80,31,74444.0,74444.5,-59.2237,680.676,10.3116,74444.5
1101,80,32,74433.4,74433.7,-69.5353,690.206,2.67916,74433.7
1102,80,33,74430.1,74430.5,-72.2145,692.102,5.54502,74430.5
1103,80,34,74423.8,74424.5,-77.7595,696.865,-1.87046,74424.5
1104,80,35,74425.2,74425.8,-75.889,694.212,2.0043,74425.8
1105,80,36,74423.7,74423.3,-77.8933,695.434,-5.71785,74423.3
1106,80,37,74428.5,74428.5,-72.1755,688.934,-1.86399,74428.5
1107,80,38,74431.3,74429.9,-70.3115,686.288,-9.16458,74429.9
1108,80,39,74438.2,74438.5,-61.1469,676.341,-5.62986,74438.5
1109,80,40,74444.3,74443.7,-55.517,669.929,0.0,74443.7
1110,80,41,74460.0,,,,,74460.0
1111,80,42,74472.8,,,,,74472.796875
1112,80,43,74493.7,,,,,74493.703125
1113,81,23,75542.2,,,,,75542.203125
1114,81,24,75513.6,,,,,75513.6015625
1115,81,25,75487.7,,,,,75487.703125
1116,81,26,75463.3,,,,,75463.296875
1117,81,27,75441.4,,,,,75441.3984375
1118,81,28,75420.5,,,,,75420.5
1119,81,29,75404.1,75404.5,-31.79,662.879,14.41,75404.5
1120,81,30,75389.0,75389.5,-46.1997,676.506,11.4283,75389.5
1121,81,31,75377.3,75377.6,-57.628,687.152,8.66373,75377.6
1122,81,32,75368.2,75368.4,-66.2917,695.033,6.24163,75368.4
1123,81,33,75361.5,75361.7,-72.5333,700.493,3.85569,75361.7
1124,81,34,75356.7,75357.3,-76.389,703.566,1.58664,75357.3
1125,81,35,75354.5,75355.2,-77.9757,704.37,-0.280837,75355.2
1126,81,36,75354.9,75355.0,-77.6948,703.307,-2.23815,75355.0
1127,81,37,75356.9,75356.7,-75.4567,700.287,-3.92854,75356.7
1128,81,38,75361.0,75360.2,-71.5281,695.576,-5.8164,75360.2
1129,81,39,75365.0,75365.5,-65.7117,688.977,-7.31534,75365.5
1130,81,40,75372.7,75372.3,-58.3964,680.879,-11.449,75372.3
1131,81,41,75383.6,75383.2,-46.947,668.647,0.0,75383.2
1132,81,42,75397.9,,,,,75397.8984375
1133,81,43,75415.0,,,,,75415.0
1134,81,44,75433.5,,,,,75433.5
1135,82,23,76484.0,,,,,76484.0
1136,82,24,76452.8,,,,,76452.796875
1137,82,25,76428.9,,,,,76428.8984375
1138,82,26,76401.2,,,,,76401.203125
1139,82,27,76381.1,,,,,76381.1015625
1140,82,28,76357.1,,,,,76357.1015625
1141,82,29,76342.4,76342.1,-25.67,664.83,16.936,76342.1
1142,82,30,76324.4,76324.6,-42.607,680.985,10.324,76324.6
1143,82,31,76313.6,76313.8,-52.9307,690.526,12.4843,76313.8
1144,82,32,76300.7,76300.8,-65.4151,702.228,4.68802,76300.8
1145,82,33,76295.2,76295.6,-70.1031,706.134,7.49083,76295.6
1146,82,34,76287.1,76287.6,-77.5939,712.842,-0.096642,76287.6
1147,82,35,76286.5,76287.2,-77.4973,711.963,3.09304,76287.2
1148,82,36,76283.3,76283.6,-80.5903,714.274,-4.40252,76283.6
1149,82,37,76287.3,76287.5,-76.1878,709.089,-0.177757,76287.5
1150,82,38,76287.7,76287.2,-76.01,708.129,-7.94708,76287.2
1151,82,39,76295.9,76294.6,-68.063,699.399,-4.12,76294.6
1152,82,40,76300.4,76298.2,-63.943,694.497,-11.742,76298.2
1153,82,41,76310.6,76309.5,-52.201,681.973,0.0,76309.5
1154,82,42,76321.6,,,,,76321.6015625
1155,82,43,76339.4,,,,,76339.3984375
1156,82,44,76353.9,,,,,76353.8984375
1157,83,23,77424.5,,,,,77424.5
1158,83,24,77394.1,,,,,77394.1015625
1159,83,25,77368.3,,,,,77368.296875
1160,83,26,77341.9,,,,,77341.8984375
1161,83,27,77319.0,,,,,77319.0
1162,83,28,77297.2,,,,,77297.203125
1163,83,29,77278.9,,,,,77278.8984375
1164,83,30,77262.5,77262.0,-36.738,683.187,12.519,77262.0
1165,83,31,77249.1,77249.0,-49.2571,694.924,11.7193,77249.0
1166,83,32,77236.9,77236.7,-60.9764,705.861,8.69289,77236.7
1167,83,33,77227.6,77227.5,-69.6693,713.771,5.67124,77227.5
1168,83,34,77221.0,77221.4,-75.3406,718.66,3.67283,77221.4
1169,83,35,77216.7,77217.2,-79.0134,721.551,0.97663,77217.2
1170,83,36,77214.8,77215.7,-79.99,721.745,-0.919402,77215.7
1171,83,37,77215.6,77216.1,-79.0706,720.043,-2.27302,77216.1
1172,83,38,77217.9,77217.9,-76.7976,716.988,-4.59308,77217.9
1173,83,39,77222.3,77222.0,-72.2045,711.612,-6.29401,77222.0
1174,83,40,77229.1,77227.8,-65.9105,704.536,-7.5,77227.8
1175,83,41,77236.3,77234.7,-58.4105,696.254,-11.724,77234.7
1176,83,42,77247.7,77246.0,-46.686,683.747,0.0,77246.0
1177,83,43,77261.5,,,,,77261.5
1178,83,44,77279.4,,,,,77279.3984375
1179,83,45,77296.0,,,,,77296.0
1180,84,24,78333.8,,,,,78333.796875
1181,84,25,78308.9,,,,,78308.8984375
1182,84,26,78280.8,,,,,78280.796875
1183,84,27,78259.2,,,,,78259.203125
1184,84,28,78234.4,,,,,78234.3984375
1185,84,29,78217.6,,,,,78217.6015625
1186,84,30,78198.0,78197.8,-32.41,686.93,11.873,78197.8
1187,84,31,78186.2,78185.4,-44.283,698.021,13.865,78185.4
1188,84,32,78171.1,78171.1,-58.1484,711.104,7.70513,78171.1
1189,84,33,78163.0,78162.8,-65.8536,718.027,10.0942,78162.8
1190,84,34,78152.5,78152.2,-75.9477,727.339,1.83536,78152.2
1191,84,35,78149.8,78149.9,-77.7831,728.392,4.65625,78149.9
1192,84,36,78144.3,78144.7,-82.4393,732.265,-2.68038,78144.7
1193,84,37,78146.4,78146.9,-79.759,728.803,0.890595,78146.9
1194,84,38,78145.3,78145.5,-80.6496,728.911,-6.75608,78145.5
1195,84,39,78151.7,78151.8,-73.8935,721.373,-2.47294,78151.8
1196,84,40,78154.6,78153.7,-71.4205,718.117,-10.4,78153.7
1197,84,41,78165.4,78163.6,-61.021,706.935,-6.519,78163.6
1198,84,42,78172.3,78169.6,-54.502,699.634,0.0,78169.6
1199,84,43,78186.7,,,,,78186.703125
1200,84,44,78200.7,,,,,78200.703125
1201,84,45,78220.3,,,,,78220.296875
1202,85,24,79275.7,,,,,79275.703125
1203,85,25,79248.1,,,,,79248.1015625
1204,85,26,79221.5,,,,,79221.5
1205,85,27,79198.0,,,,,79198.0
1206,85,28,79174.4,,,,,79174.3984375
1207,85,29,79154.5,,,,,79154.5
1208,85,30,79136.4,79135.9,-25.84,688.432,14.224,79135.9
1209,85,31,79121.6,79121.1,-40.064,701.873,13.06,79121.1
1210,85,32,79108.2,79107.6,-53.1234,714.15,10.0657,79107.6
1211,85,33,79097.1,79097.0,-63.1891,723.434,9.22449,79097.0
1212,85,34,79087.9,79087.3,-72.4136,731.876,6.16183,79087.3
1213,85,35,79081.0,79080.6,-78.5755,737.255,2.90486,79080.6
1214,85,36,79077.0,79077.2,-81.4803,739.378,0.687,79077.2
1215,85,37,79075.5,79076.0,-82.1673,739.282,-1.06405,79076.0
1216,85,38,79076.0,79076.6,-81.1033,737.436,-3.26115,79076.6
1217,85,39,79078.9,79079.3,-77.8421,733.393,-4.6681,79079.3
1218,85,40,79083.8,79083.5,-73.174,727.942,-6.89435,79083.5
1219,85,41,79090.8,79089.9,-66.2797,720.265,-8.76992,79089.9
1220,85,42,79099.9,79098.1,-57.5098,710.713,-11.475,79098.1
1221,85,43,79111.2,79109.1,-46.034,698.455,0.0,79109.1
1222,85,44,79125.7,,,,,79125.703125
1223,85,45,79141.4,,,,,79141.3984375
1224,86,24,80215.7,,,,,80215.703125
1225,86,25,80189.3,,,,,80189.296875
1226,86,26,80159.7,,,,,80159.703125
1227,86,27,80137.8,,,,,80137.796875
1228,86,28,80112.6,,,,,80112.6015625
1229,86,29,80093.8,,,,,80093.796875
1230,86,30,80072.5,,,,,80072.5
1231,86,31,80059.3,80058.2,-34.456,704.337,15.304,80058.2
1232,86,32,80042.9,80042.4,-49.76,718.858,9.202,80042.4
1233,86,33,80033.5,80032.7,-58.9621,727.278,11.541,80032.7
1234,86,34,80021.0,80020.7,-70.5032,738.037,5.12908,80020.7
1235,86,35,80015.6,80015.0,-75.6323,742.383,7.63341,80015.0
1236,86,36,80007.2,80006.9,-83.2657,749.234,-0.518655,80006.9
1237,86,37,80007.2,80006.9,-82.747,747.933,1.77619,80006.9
1238,86,38,80004.1,80004.6,-84.5232,748.927,-5.24,80004.6
1239,86,39,80008.8,80009.4,-79.2832,742.905,-1.31455,80009.4
1240,86,40,80010.2,80010.2,-77.9687,740.808,-8.83577,80010.2
1241,86,41,80019.1,80018.5,-69.1329,731.19,-5.02263,80018.5
1242,86,42,80024.4,80023.0,-64.1102,725.385,-12.813,80023.0
1243,86,43,80037.6,80035.3,-51.297,711.789,0.0,80035.3
1244,86,44,80047.7,,,,,80047.703125
1245,86,45,80065.7,,,,,80065.703125
1246,86,46,80080.2,,,,,80080.203125
1247,87,25,81129.0,,,,,81129.0
1248,87,26,81100.8,,,,,81100.796875
1249,87,27,81076.1,,,,,81076.1015625
1250,87,28,81052.5,,,,,81052.5
1251,87,29,81031.8,,,,,81031.796875
1252,87,30,81011.7,,,,,81011.703125
1253,87,31,80995.2,80994.6,-29.58,707.532,14.499,80994.6
1254,87,32,80980.4,80979.6,-44.078,721.248,11.54,80979.6
1255,87,33,80968.1,80967.6,-55.6179,732.005,10.8082,80967.6
1256,87,34,80957.3,80956.2,-66.4261,742.031,7.46555,80956.2
1257,87,35,80948.7,80948.3,-73.8917,748.714,6.81785,80948.3
1258,87,36,80941.7,80941.0,-80.7095,754.75,3.88827,80941.0
1259,87,37,80937.2,80936.6,-84.5978,757.856,0.282243,80936.6
1260,87,38,80935.6,80935.8,-84.88,757.355,-1.86169,80935.8
1261,87,39,80936.7,80937.1,-83.0183,754.711,-3.67181,80937.1
1262,87,40,80939.9,80940.3,-79.3465,750.257,-5.47323,80940.3
1263,87,41,80945.3,80945.3,-73.8733,744.002,-6.98849,80945.3
1264,87,42,80952.6,80951.7,-66.8848,736.231,-9.19476,80951.7
1265,87,43,80961.6,80960.4,-57.69,726.254,-11.758,80960.4
1266,87,44,80973.5,80971.7,-45.932,713.713,0.0,80971.7
1267,87,45,80987.5,,,,,80987.5
1268,87,46,81004.3,,,,,81004.296875
1269,88,25,82070.5,,,,,82070.5
1270,88,26,82039.9,,,,,82039.8984375
1271,88,27,82016.3,,,,,82016.296875
1272,88,28,81990.0,,,,,81990.0
1273,88,29,81971.0,,,,,81971.0
1274,88,30,81948.6,,,,,81948.6015625
1275,88,31,81933.4,,,,,81933.3984375
1276,88,32,81915.5,81915.0,-40.138,725.379,10.582,81915.0
1277,88,33,81904.8,81904.0,-50.72,735.178,13.164,81904.0
1278,88,34,81891.0,81890.3,-63.8842,747.56,6.83176,81890.3
1279,88,35,81884.0,81882.9,-70.716,753.61,8.97533,81882.9
1280,88,36,81874.1,81873.5,-79.6913,761.803,2.91771,81873.5
1281,88,37,81871.0,81870.0,-82.609,763.938,5.31236,81870.0
1282,88,38,81864.6,81864.2,-87.9214,768.468,-3.6226,81864.2
1283,88,39,81867.4,81867.3,-84.2988,764.063,-0.670422,81867.3
1284,88,40,81866.9,81867.5,-83.6283,762.61,-7.45234,81867.5
1285,88,41,81874.2,81874.5,-76.176,754.376,-3.48944,81874.5
1286,88,42,81877.9,81877.4,-72.6865,750.104,-11.0052,81877.4
1287,88,43,81889.0,81887.9,-61.6813,738.316,-7.282,81887.9
1288,88,44,81896.3,81894.7,-54.399,730.252,0.0,81894.7
1289,88,45,81912.5,,,,,81912.5
1290,88,46,81925.2,,,,,81925.203125
1291,88,47,81945.1,,,,,81945.1015625
1292,89,25,83010.1,,,,,83010.1015625
1293,89,26,82980.9,,,,,82980.8984375
1294,89,27,82955.2,,,,,82955.203125
1295,89,28,82930.1,,,,,82930.1015625
1296,89,29,82908.1,,,,,82908.1015625
1297,89,30,82887.9,,,,,82887.8984375
1298,89,31,82869.9,,,,,82869.8984375
1299,89,32,82853.5,82852.9,-33.729,727.041,13.069,82852.9
1300,89,33,82839.8,82839.4,-46.798,739.328,12.194,82839.4
1301,89,34,82827.5,82826.7,-58.9924,750.74,9.28187,82826.7
1302,89,35,82817.9,82816.9,-68.2743,759.239,8.26152,82816.9
1303,89,36,82809.4,82808.1,-76.5358,766.719,5.17645,82808.1
1304,89,37,82803.3,82802.4,-81.7122,771.113,4.49651,82802.4
1305,89,38,82798.4,82797.4,-86.2087,774.827,1.5004,82797.4
1306,89,39,82796.0,82795.4,-87.7092,775.545,-2.83276,82795.4
1307,89,40,82797.4,82797.8,-84.8764,771.93,-4.251,82797.8
1308,89,41,82801.1,82801.5,-80.6254,766.896,-5.61046,82801.5
1309,89,42,82806.7,82806.6,-75.0149,760.504,-7.62009,82806.6
1310,89,43,82814.1,82813.7,-67.3948,752.101,-9.288,82813.7
1311,89,44,82823.5,82822.5,-58.107,742.031,-12.076,82822.5
1312,89,45,82835.1,82834.1,-46.03,729.172,0.0,82834.1
1313,89,46,82850.1,,,,,82850.1015625
1314,89,47,82865.9,,,,,82865.8984375
1315,90,26,83919.9,,,,,83919.8984375
1316,90,27,83895.7,,,,,83895.703125
1317,90,28,83868.1,,,,,83868.1015625
1318,90,29,83847.5,,,,,83847.5
1319,90,30,83824.4,,,,,83824.3984375
1320,90,31,83808.5,,,,,83808.5
1321,90,32,83789.1,83788.9,-29.221,730.604,12.109,83788.9
1322,90,33,83776.9,83776.3,-41.33,741.931,14.47,83776.3
1323,90,34,83761.7,83761.4,-55.8002,755.619,8.20008,83761.4
1324,90,35,83753.6,83752.6,-64.0003,763.037,10.959,83752.6
1325,90,36,83742.5,83741.2,-74.9592,773.213,4.40548,83741.2
1326,90,37,83737.9,83736.3,-79.3647,776.836,6.58419,83736.3
1327,90,38,83730.0,83729.2,-85.9489,782.638,0.545944,83729.2
1328,90,39,83729.2,83728.1,-86.4949,782.402,2.2787,83728.1
1329,90,40,83725.1,83725.3,-88.7736,783.898,-6.11134,83725.3
1330,90,41,83730.7,83731.0,-82.6622,777.005,-2.48934,83731.0
1331,90,42,83732.7,83732.9,-80.1729,773.733,-9.4482,83732.9
1332,90,43,83742.0,83741.9,-70.7247,763.502,-5.84089,83741.9
1333,90,44,83747.8,83747.2,-64.8838,756.879,-12.925,83747.2
1334,90,45,83761.2,83759.6,-51.959,743.172,0.0,83759.6
1335,90,46,83771.9,,,,,83771.8984375
1336,90,47,83789.9,,,,,83789.8984375
1337,90,48,83804.7,,,,,83804.703125
1338,91,26,84862.1,,,,,84862.1015625
1339,91,27,84834.4,,,,,84834.3984375
1340,91,28,84808.5,,,,,84808.5
1341,91,29,84785.6,,,,,84785.6015625
1342,91,30,84764.0,,,,,84764.0
1343,91,31,84744.8,,,,,84744.796875
1344,91,32,84727.5,,,,,84727.5
1345,91,33,84712.3,84712.3,-36.896,745.568,13.441,84712.3
1346,91,34,84698.7,84698.3,-50.338,758.228,10.769,84698.3
1347,91,35,84687.6,84687.0,-61.1073,768.215,9.86667,84687.0
1348,91,36,84678.0,84676.7,-70.974,777.299,6.77116,84676.7
1349,91,37,84670.8,84669.4,-77.7451,783.288,5.90728,84669.4
1350,91,38,84664.6,84663.0,-83.6524,788.413,2.69947,84663.0
1351,91,39,84660.7,84659.8,-86.3519,790.33,1.54428,84659.8
1352,91,40,84658.3,84657.7,-87.8962,791.092,-1.25758,84657.7
1353,91,41,84658.5,84658.5,-86.6386,789.052,-4.42986,84658.5
1354,91,42,84662.2,84662.4,-82.2087,783.84,-6.22246,84662.4
1355,91,43,84667.9,84668.1,-75.9863,776.835,-7.74674,84668.1
1356,91,44,84675.6,84675.4,-68.2395,768.306,-9.444,84675.4
1357,91,45,84685.0,84684.3,-58.796,758.08,-12.519,84684.3
1358,91,46,84697.4,84696.3,-46.277,744.779,0.0,84696.3
1359,91,47,84711.5,,,,,84711.5
1360,91,48,84728.6,,,,,84728.6015625
1361,92,26,85800.6,,,,,85800.6015625
1362,92,27,85775.9,,,,,85775.8984375
1363,92,28,85746.8,,,,,85746.796875
1364,92,29,85725.2,,,,,85725.203125
1365,92,30,85701.3,,,,,85701.296875
1366,92,31,85683.5,,,,,85683.5
1367,92,32,85663.3,,,,,85663.296875
1368,92,33,85649.9,85649.7,-30.981,747.725,15.742,85649.7
1369,92,34,85633.3,85633.4,-46.724,762.685,9.509,85633.4
1370,92,35,85623.8,85623.4,-56.2328,771.412,12.5365,85623.4
1371,92,36,85611.2,85610.4,-68.7693,783.166,6.0032,85610.4
1372,92,37,85605.5,85603.9,-74.7725,788.387,8.09487,85603.9
1373,92,38,85596.9,85595.3,-82.8674,795.699,1.94966,85595.3
1374,92,39,85594.5,85592.8,-84.8171,796.867,3.64258,85592.8
1375,92,40,85588.9,85588.6,-88.4596,799.727,-2.00589,85588.6
1376,92,41,85590.5,85590.1,-86.4537,796.939,0.354082,85590.1
1377,92,42,85588.9,85589.3,-86.8078,796.51,-7.88214,85589.3
